name,description,exchange,industry,close,SMA10,SMA20,SMA30,SMA50,SMA100,SMA150,SMA200,EMA10,EMA21,high,low,ADRP,ATRP,atr_abs,average_volume_10d_calc,average_volume_30d_calc,dollar_volume_30d,average_dollar_volume_30d,rvol,gap_pct,market_cap_basic,Perf.1M,perf_1m_rank,Perf.3M,perf_3m_rank,Perf.6M,perf_6m_rank,momentum_score,atr_extension_from_50d,sma20_distance_pct,ema21_atr_dist,day_range_atr,lod_atr_pct,bb_width,ma_spread_pct,above_all_mas,ma_aligned,ema_aligned,above_sma200,near_sma20,near_ema,range_tight,adr_tight,bb_tight,plan_tight,wide_day,lod_ok,rvol_ok,rvol_pass,rvol_expand,ma_coiled,earnings_date,earnings_soon,large_gap,hard_rule_passes,hard_rule_fails,tightness_flags,focus_score,tradingview_url,is_top_1m,is_top_3m,is_top_6m
CYPH,Cypherpunk Technologies Inc.,NASDAQ,Financial Conglomerates,4.12,3.29,2.7,2.22,1.6,1.24,1.08,1.06,3.4,2.8,4.19,3.82,12.49,10.65,0.44,21308647.6,15761505.866666667,64937404.0,35035043.0,0.97,-2.94,443989243.17647064,157.5,4,610.34,1,533.85,1,433.9,14.81,52.56,4.44,0.84,68.4,1.152,54.09,True,True,True,True,False,False,True,True,False,True,False,False,False,False,False,False,2026-11-16,False,True,2,"LoD>60% ATR, >4x 50-MA, thin RVOL, large gap","EMA, ADR",7,https://www.tradingview.com/chart/?symbol=NASDAQ:CYPH&interval=D,True,True,True
QMCO,Quantum Corporation,NASDAQ,Computer Peripherals,31.68,25.88,24.84,24.22,19.67,15.37,12.21,10.91,26.78,24.84,33.01,29.02,7.41,7.82,2.48,2127434.9,1576737.5333333334,49951045.0,38184116.0,2.38,1.76,1248508784.9603255,42.0,14,181.85,2,522.4,2,248.75,7.81,27.56,3.52,1.61,107.4,0.354,47.25,True,True,True,True,False,False,False,False,False,False,True,False,True,True,True,False,2026-11-13,False,False,4,"LoD>60% ATR, >4x 50-MA","EMA, RVOL",5,https://www.tradingview.com/chart/?symbol=NASDAQ:QMCO&interval=D,True,True,True
MXL,"MaxLinear, Inc",NASDAQ,Semiconductors,93.84,79.44,71.89,71.13,71.44,81.25,62.83,51.72,81.75,76.26,96.22,85.61,6.14,6.96,6.54,3375635.1,2664162.8333333335,250005040.0,189507231.0,1.38,2.66,8510648133.518698,43.2,12,4.06,193,455.6,3,167.62,4.5,30.53,3.31,1.62,125.9,0.597,31.47,True,True,True,True,False,False,False,False,False,False,True,False,False,False,True,False,2026-10-28,False,True,2,"LoD>60% ATR, >4x 50-MA, thin RVOL, large gap","EMA, RVOL",5,https://www.tradingview.com/chart/?symbol=NASDAQ:MXL&interval=D,True,False,True
CDNA,"CareDx, Inc.",NASDAQ,Medical Specialties,63.68,55.68,52.83,51.28,47.55,36.06,30.25,27.62,56.51,53.45,65.19,60.51,4.26,4.48,2.85,1427554.2,1229818.2666666666,78314827.0,63060571.0,1.87,-0.07,3294435225.685514,26.98,30,128.65,7,267.24,6,140.96,7.57,20.53,4.27,1.64,111.1,0.291,44.07,True,True,True,True,False,False,False,False,False,False,True,False,True,True,True,False,2026-11-10,False,False,4,"LoD>60% ATR, >4x 50-MA","EMA, RVOL",5,https://www.tradingview.com/chart/?symbol=NASDAQ:CDNA&interval=D,False,True,True
ASST,"Strive, Inc.",NASDAQ,Financial Conglomerates,29.44,29.04,27.35,24.01,19.27,17.08,15.13,15.24,28.79,26.49,30.07,29.11,6.33,6.4,1.88,9842525.8,9985403.766666668,293970287.0,239707939.0,0.43,-0.15,2873260036.018704,42.08,13,171.09,3,194.4,16,135.86,8.25,7.63,1.74,0.51,17.5,0.328,47.26,True,True,True,True,False,False,True,True,False,True,False,True,False,False,False,False,2026-11-13,False,False,4,">4x 50-MA, thin RVOL","EMA, ADR",8,https://www.tradingview.com/chart/?symbol=NASDAQ:ASST&interval=D,True,True,True
USDE,StablecoinX Inc.,NASDAQ,Packaged Software,17.25,10.81,9.25,7.82,5.46,6.73,8.57,9.74,11.98,9.66,17.5,14.34,9.09,10.21,1.76,6823935.3,8832965.8,152368660.0,69107652.0,1.23,9.21,468977985.70675105,196.9,2,131.23,6,68.29,102,132.14,21.15,86.39,7.7,1.8,165.3,1.32,31.03,True,True,True,True,False,False,False,False,False,False,True,False,False,False,True,False,,False,True,2,"LoD>60% ATR, >4x 50-MA, thin RVOL, large gap","EMA, RVOL",5,https://www.tradingview.com/chart/?symbol=NASDAQ:USDE&interval=D,True,True,False
TEAM,Atlassian Corporation,NASDAQ,Packaged Software,187.74,191.72,188.65,182.31,154.3,121.72,105.05,111.84,190.05,183.89,194.81,187.23,4.28,4.67,8.76,3202805.9,3684260.2,691683010.0,671680547.0,0.59,-0.31,47524282263.497635,15.9,63,149.32,5,180.17,19,115.13,4.64,-0.48,0.45,0.87,5.8,0.122,46.16,False,False,False,True,True,True,True,False,False,True,False,True,False,True,False,False,2026-10-29,False,False,5,>4x 50-MA,near21,6,https://www.tradingview.com/chart/?symbol=NASDAQ:TEAM&interval=D,False,True,True
GLND,Greenland Energy Company,NASDAQ,Financial Conglomerates,5.54,2.52,1.92,1.74,1.87,2.27,4.24,5.78,3.1,2.35,6.69,4.83,9.16,10.6,0.59,60824889.6,20851783.7,115518882.0,36368986.0,2.45,14.21,242265270.72149536,271.81,1,118.11,9,-57.22,446,110.9,18.6,189.26,12.82,3.17,121.0,2.702,70.58,False,True,True,False,False,False,False,False,False,False,True,False,True,True,True,False,2026-12-02,False,True,2,"LoD>60% ATR, >4x 50-MA, below 200-MA, large gap","EMA, RVOL",3,https://www.tradingview.com/chart/?symbol=NASDAQ:GLND&interval=D,True,True,False
LIFE,Ethos Technologies Inc.,NASDAQ,Packaged Software,34.3,36.68,37.6,36.98,31.9,25.72,21.61,,36.16,36.26,36.41,34.05,8.63,8.26,2.83,2053627.7,1582390.1,54275980.0,58523115.0,0.62,-0.25,2186927122.6762953,-10.3,298,88.88,16,239.6,8,106.06,0.91,-8.77,0.66,0.83,8.9,0.233,46.61,False,False,False,False,False,True,True,False,False,True,False,True,False,False,False,False,2026-12-02,False,False,4,"thin RVOL, below 200-MA",near21,4,https://www.tradingview.com/chart/?symbol=NASDAQ:LIFE&interval=D,False,True,True
BAND,Bandwidth Inc.,NASDAQ,Packaged Software,61.81,54.42,51.59,51.04,51.8,56.01,43.76,36.38,56.14,53.46,65.13,60.23,7.93,7.38,4.56,1071680.3,882099.4666666667,54522568.0,45021916.0,1.0,0.47,1989094518.2361312,33.5,24,18.36,125,263.59,7,105.15,2.62,19.81,2.12,1.07,34.6,0.408,31.75,True,True,True,True,False,False,False,False,False,False,True,True,False,False,False,False,2026-10-29,False,False,5,thin RVOL,EMA,6,https://www.tradingview.com/chart/?symbol=NASDAQ:BAND&interval=D,False,False,True
GRAL,"GRAIL, Inc.",NASDAQ,Medical Specialties,126.89,93.21,86.47,82.55,77.5,71.1,64.16,72.56,100.67,90.24,127.67,118.45,5.67,6.23,7.91,2069765.7,1109012.2333333334,140722562.0,91549699.0,0.64,-1.37,5667698271.998164,56.89,8,93.55,12,148.8,30,99.75,10.22,46.75,6.51,1.17,106.7,0.739,22.89,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,2026-11-18,False,False,3,"LoD>60% ATR, >4x 50-MA, thin RVOL",EMA,5,https://www.tradingview.com/chart/?symbol=NASDAQ:GRAL&interval=D,True,True,False
APPS,"Digital Turbine, Inc.",NASDAQ,Packaged Software,11.11,11.33,11.13,11.2,10.82,9.52,7.51,6.86,11.3,11.24,11.75,10.75,7.51,7.78,0.86,2945956.2,2696509.3666666667,29958219.0,30199557.0,1.27,0.18,1344490557.9227939,5.01,139,10.66,159,277.89,5,97.85,0.35,-0.15,0.15,1.16,41.7,0.218,40.22,False,False,False,True,True,True,False,False,False,True,True,True,False,False,True,False,2026-11-11,False,False,5,thin RVOL,"near21, RVOL",5,https://www.tradingview.com/chart/?symbol=NASDAQ:APPS&interval=D,False,False,True
DELL,Dell Technologies Inc.,NYSE,Computer Processing Hardware,562.89,557.05,529.18,505.27,475.72,418.74,336.39,282.91,550.19,530.05,573.8,541.24,4.99,5.61,31.59,9565417.999999998,9076956.3,5109327932.0,4586277402.0,0.86,1.92,357892656966.421,25.2,34,42.05,63,221.41,11,96.22,3.26,6.37,1.1,1.03,68.5,0.319,48.7,True,True,True,True,False,True,False,False,False,True,True,False,False,True,False,False,2026-12-01,False,False,5,LoD>60% ATR,"EMA, near21",6,https://www.tradingview.com/chart/?symbol=NYSE:DELL&interval=D,False,False,True
SDGR,"Schrodinger, Inc.",NASDAQ,Packaged Software,28.85,27.57,23.72,22.16,19.79,17.25,15.51,15.66,27.45,24.72,29.74,27.69,7.03,6.08,1.75,3475166.1,1781986.6,51410313.0,39492981.0,0.4,0.51,2158142386.804754,46.26,10,79.75,20,150.87,28,92.29,7.53,21.62,2.75,1.17,66.1,0.767,41.8,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,2026-11-11,False,False,3,"LoD>60% ATR, >4x 50-MA, thin RVOL",EMA,5,https://www.tradingview.com/chart/?symbol=NASDAQ:SDGR&interval=D,True,True,False
GPRO,"GoPro, Inc.",NASDAQ,Electronics/Appliances,1.29,1.3,1.31,1.07,0.92,0.93,0.94,1.03,1.29,1.21,1.31,1.25,8.54,10.89,0.14,16439284.0,64975570.833333336,83818486.0,69844624.0,0.51,-0.4,241414120.8809524,111.48,6,68.03,27,92.54,66,90.68,3.64,-1.36,0.57,0.44,30.2,0.703,29.74,False,False,False,True,True,True,True,True,False,True,False,True,False,False,False,False,2026-11-05,False,False,5,thin RVOL,"near21, ADR",7,https://www.tradingview.com/chart/?symbol=NASDAQ:GPRO&interval=D,True,False,False
OKTA,"Okta, Inc.",NASDAQ,Packaged Software,195.19,193.25,181.02,167.81,158.19,136.4,116.14,109.17,192.1,180.91,205.0,195.04,4.97,5.08,9.91,4731336.7,4289406.333333333,837249222.0,719816000.0,0.87,-1.28,34123263116.30866,52.49,9,63.56,31,155.99,22,90.68,4.6,7.83,1.55,1.0,1.5,0.298,43.08,True,True,True,True,False,False,False,False,False,False,True,True,False,True,False,False,2026-12-08,False,False,5,>4x 50-MA,EMA,6,https://www.tradingview.com/chart/?symbol=NASDAQ:OKTA&interval=D,True,False,True
AMC,"AMC Entertainment Holdings, Inc.",NYSE,Movies/Entertainment,2.94,2.77,2.66,2.62,2.58,2.22,1.91,1.82,2.8,2.7,2.96,2.83,5.21,5.67,0.17,30340521.400000036,23554888.36666667,69251372.0,61768769.0,0.61,0.69,2624257643.2164946,10.53,93,58.06,36,203.09,14,90.56,2.47,10.57,1.56,0.75,66.0,0.257,32.2,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,2026-11-11,False,False,4,"LoD>60% ATR, thin RVOL",EMA,6,https://www.tradingview.com/chart/?symbol=NYSE:AMC&interval=D,False,False,True
BLZE,"Backblaze, Inc.",NASDAQ,Computer Peripherals,13.19,13.45,13.42,14.53,14.89,12.59,9.67,8.41,13.54,13.87,13.75,12.97,6.1,7.07,0.93,1896220.2,2370101.1666666665,31261634.0,34438360.0,0.63,1.22,816461027.3469085,-13.51,327,2.05,200,279.02,4,89.19,-1.61,-1.69,0.7,0.84,23.9,0.164,49.09,False,False,False,True,True,True,True,False,False,True,False,True,False,False,False,False,2026-11-11,False,False,5,thin RVOL,near21,6,https://www.tradingview.com/chart/?symbol=NASDAQ:BLZE&interval=D,False,False,True
OMER,Omeros Corporation,NASDAQ,Pharmaceuticals: Major,20.08,18.88,18.86,18.71,16.02,13.52,13.0,12.78,19.41,18.67,20.61,19.66,4.46,4.8,0.96,1839082.0,1727464.9333333333,34687496.0,32322596.0,0.51,1.29,1453557270.485842,5.91,130,164.56,4,93.08,64,87.85,5.28,6.46,1.57,0.99,43.6,0.216,30.35,True,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,2026-11-11,False,False,4,">4x 50-MA, thin RVOL",EMA,7,https://www.tradingview.com/chart/?symbol=NASDAQ:OMER&interval=D,False,True,False
CRWD,"CrowdStrike Holdings, Inc.",NASDAQ,Packaged Software,252.13,247.63,230.28,220.89,212.63,191.46,162.22,150.11,245.7,233.56,259.86,251.54,4.52,4.8,12.11,13773725.0,11514900.633333333,2903251897.0,2543468826.0,0.56,-0.05,258164698117.79694,37.96,19,46.97,56,171.95,21,85.63,3.87,9.49,1.66,0.69,4.9,0.331,38.68,True,True,True,True,False,False,True,True,False,True,False,True,False,True,False,False,2026-12-01,False,False,6,,"EMA, ADR",8,https://www.tradingview.com/chart/?symbol=NASDAQ:CRWD&interval=D,True,False,True
ALAB,"Astera Labs, Inc.",NASDAQ,Semiconductors,364.62,316.54,303.21,300.95,305.03,321.08,261.44,236.21,332.09,315.66,377.87,356.2,5.31,6.33,23.1,4573035.6,3803731.7,1386916652.0,1144734323.0,0.68,1.52,63256141581.82025,29.01,27,-4.66,239,228.49,9,84.28,3.08,20.25,2.45,0.94,36.5,0.458,23.28,True,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,2026-11-10,False,False,6,,EMA,7,https://www.tradingview.com/chart/?symbol=NASDAQ:ALAB&interval=D,False,False,True
RNG,"RingCentral, Inc.",NYSE,Packaged Software,76.16,75.72,73.35,70.89,64.25,52.57,47.86,43.04,75.96,72.93,79.94,75.58,4.29,4.38,3.33,1827049.9,1522441.2333333334,115949124.0,107921799.0,0.89,-0.4,6359829401.120522,19.65,53,118.41,8,109.03,55,82.37,4.23,3.83,1.01,1.31,17.4,0.195,42.91,True,True,True,True,False,True,False,False,False,True,True,True,False,False,False,False,2026-11-09,False,False,4,">4x 50-MA, thin RVOL","EMA, near21",7,https://www.tradingview.com/chart/?symbol=NYSE:RNG&interval=D,False,True,False
PURR,Hyperliquid Strategies Inc,NASDAQ,Financial Conglomerates,12.85,12.98,12.39,11.53,9.55,8.86,7.72,6.76,13.09,12.22,13.98,12.65,8.32,8.97,1.15,27194257.1,27740344.7,356463429.0,319786070.0,1.2,-0.78,3057262794.3293114,10.92,90,61.64,33,171.96,20,81.5,3.85,3.69,0.58,1.15,17.4,0.33,48.4,False,False,False,True,False,True,False,False,False,True,True,True,False,False,False,False,2026-12-02,False,False,5,thin RVOL,near21,4,https://www.tradingview.com/chart/?symbol=NASDAQ:PURR&interval=D,False,False,True
SECZ,Securitize Corp.,NYSE,Packaged Software,15.96,11.71,9.51,8.4,7.89,9.68,10.15,10.49,12.61,10.5,16.22,14.83,8.02,7.74,1.24,7215086.9,3708847.9,59193212.0,31167921.0,1.04,-1.94,2605720457.1034484,142.19,5,53.61,48,46.29,144,80.69,13.19,67.9,6.72,1.12,91.4,1.356,23.9,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,2026-11-13,False,False,3,"LoD>60% ATR, >4x 50-MA, thin RVOL",EMA,5,https://www.tradingview.com/chart/?symbol=NYSE:SECZ&interval=D,True,False,False
CORT,Corcept Therapeutics Incorporated,NASDAQ,Pharmaceuticals: Major,116.1,113.84,113.56,115.56,110.79,92.49,74.88,69.2,114.8,114.06,120.44,114.51,4.94,4.71,5.47,2622659.8,1421632.0,165051475.0,164285926.0,0.3,0.41,12550224037.209518,-5.28,229,38.68,75,204.8,12,79.4,1.02,2.23,0.38,1.08,29.1,0.077,38.45,True,True,True,True,True,True,False,False,True,True,True,True,False,True,False,False,2026-11-04,False,False,6,,"EMA, near21, BB",9,https://www.tradingview.com/chart/?symbol=NASDAQ:CORT&interval=D,False,False,True
FIVN,"Five9, Inc.",NASDAQ,Packaged Software,35.77,35.16,33.89,33.48,31.33,26.9,23.39,22.26,35.41,34.14,37.79,35.61,5.85,5.76,2.06,3078092.6,2041547.7,73026161.0,68352038.0,0.48,-0.57,2672860786.3576107,13.7,75,80.66,18,142.02,35,78.79,2.46,5.56,0.83,1.06,7.8,0.277,36.05,True,True,True,True,False,True,False,False,False,True,True,True,False,False,False,False,2026-11-09,False,False,5,thin RVOL,"EMA, near21",7,https://www.tradingview.com/chart/?symbol=NASDAQ:FIVN&interval=D,False,True,False
PLSE,"Pulse Biosciences, Inc",NASDAQ,Medical Specialties,51.63,52.49,52.24,50.74,44.91,35.15,30.38,26.82,52.19,51.07,54.05,50.8,8.96,7.25,3.74,609077.4,604027.2,31185924.0,30649750.0,1.09,0.66,3753631751.505692,5.37,134,91.79,13,139.03,37,78.73,2.06,-1.17,0.15,0.87,22.1,0.151,49.72,False,False,False,True,True,True,True,True,False,True,False,True,False,False,False,False,2026-11-16,False,False,5,thin RVOL,"near21, ADR",7,https://www.tradingview.com/chart/?symbol=NASDAQ:PLSE&interval=D,False,True,False
NTSK,"Netskope, Inc.",NASDAQ,Packaged Software,17.67,17.82,16.17,15.66,14.75,12.86,11.84,12.89,17.56,16.57,18.65,17.64,5.49,5.36,0.95,8966962.1,6370640.7,112569221.0,99787592.0,0.65,-0.92,7219744956.830371,33.86,23,82.16,17,112.89,54,76.31,3.7,9.31,1.24,1.07,3.2,0.432,33.84,False,False,True,True,False,True,False,False,False,True,True,True,False,False,False,False,2026-12-11,False,False,5,thin RVOL,"EMA, near21",5,https://www.tradingview.com/chart/?symbol=NASDAQ:NTSK&interval=D,True,True,False
PENG,"Penguin Solutions, Inc.",NASDAQ,Semiconductors,56.22,52.28,50.96,52.22,53.42,56.85,45.22,38.86,53.27,52.62,56.57,53.38,4.27,5.9,3.32,1517425.4,1481401.9,83284415.0,77352388.0,1.11,1.47,2880864618.3605876,11.99,83,-11.04,282,223.1,10,74.68,0.89,10.33,1.16,0.96,85.7,0.232,32.01,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,False,2026-10-06,False,False,4,"LoD>60% ATR, thin RVOL","EMA, near21",6,https://www.tradingview.com/chart/?symbol=NASDAQ:PENG&interval=D,False,False,True
AEHR,Aehr Test Systems,NASDAQ,Electronic Production Equipment,104.39,93.0,89.21,95.88,94.82,94.61,81.71,67.7,95.84,94.15,105.58,95.29,6.94,8.43,8.8,2320566.2,2670493.8333333335,278772851.0,256049619.0,1.22,0.79,3409329932.6604395,10.33,95,9.31,161,204.17,13,74.6,1.2,17.01,1.29,1.17,103.4,0.371,25.98,True,True,True,True,False,True,False,False,False,True,True,False,False,False,True,False,2026-10-06,False,False,4,"LoD>60% ATR, thin RVOL","EMA, near21, RVOL",6,https://www.tradingview.com/chart/?symbol=NASDAQ:AEHR&interval=D,False,False,True
INTC,Intel Corporation,NASDAQ,Semiconductors,123.0,113.14,104.54,100.79,99.05,108.29,91.07,79.2,115.82,108.48,126.93,122.84,4.2,5.09,6.26,122858912.7,102090690.66666667,12557154952.0,10289363395.0,0.8,-0.44,650190969541.3612,41.7,15,-4.43,236,181.98,18,73.08,4.75,17.66,2.63,0.65,2.6,0.483,27.59,True,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,2026-10-22,False,False,5,>4x 50-MA,EMA,7,https://www.tradingview.com/chart/?symbol=NASDAQ:INTC&interval=D,True,False,True
HPE,Hewlett Packard Enterprise Company,NYSE,Computer Processing Hardware,62.94,60.13,57.36,56.48,53.94,48.29,40.23,35.91,60.72,58.41,65.65,62.88,5.21,5.57,3.51,22011520.8,22972919.66666669,1445915564.0,1297403296.0,0.64,0.2,83550630184.875,17.87,58,39.2,74,153.08,24,70.05,2.99,9.72,1.39,0.79,1.7,0.292,38.49,True,True,True,True,False,True,True,False,False,True,False,True,False,True,False,False,2026-12-03,False,False,6,,"EMA, near21",8,https://www.tradingview.com/chart/?symbol=NYSE:HPE&interval=D,False,False,False
RBRK,"Rubrik, Inc.",NYSE,Information Technology Services,109.55,108.7,99.53,99.52,92.24,82.49,72.28,71.12,107.92,102.7,114.0,109.18,5.1,5.2,5.7,3624053.7,3612928.7333333334,395796343.0,359551442.0,0.89,-0.79,22710201104.53998,21.05,44,54.67,42,134.23,40,69.98,3.61,10.07,1.28,0.85,6.5,0.398,34.3,True,True,True,True,False,True,True,False,False,True,False,True,False,True,False,False,2026-12-03,False,False,6,,"EMA, near21",8,https://www.tradingview.com/chart/?symbol=NYSE:RBRK&interval=D,False,False,False
NEO,"NeoGenomics, Inc.",NASDAQ,Medical/Nursing Services,19.33,19.16,18.37,17.83,16.78,14.06,12.2,12.16,18.96,18.37,19.75,18.87,4.29,4.38,0.85,2527282.6,1899508.6333333333,36717502.0,33859691.0,0.83,0.0,2483430059.1329246,15.82,64,41.2,66,151.37,27,69.46,3.47,5.23,1.19,1.04,54.4,0.193,36.22,True,True,True,True,False,True,False,False,False,True,True,True,False,False,False,False,2026-11-10,False,False,5,thin RVOL,"EMA, near21",7,https://www.tradingview.com/chart/?symbol=NASDAQ:NEO&interval=D,False,False,False
P,"Everpure, Inc.",NYSE,Computer Peripherals,126.0,107.86,101.96,104.45,96.03,86.44,79.27,77.09,111.17,105.66,128.36,122.3,4.74,5.57,7.02,12041383.7,6157358.066666666,775827116.0,643115526.0,0.54,0.82,41986634368.39515,22.14,40,80.0,19,105.51,56,69.22,5.61,23.57,3.46,0.86,52.7,0.373,24.42,True,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,2026-12-02,False,False,5,>4x 50-MA,EMA,7,https://www.tradingview.com/chart/?symbol=NYSE:P&interval=D,False,True,False
GRML,Greenland Mines Ltd,NASDAQ,Miscellaneous Commercial Services,14.66,7.95,6.18,7.01,8.21,12.04,14.96,15.13,9.74,8.02,17.38,14.42,13.79,17.52,2.57,44460041.9,15335299.995333334,224815498.0,107526012.0,0.54,10.68,46575007.06514439,171.48,3,33.27,81,-0.34,276,68.14,4.48,137.4,4.72,1.15,9.3,2.634,61.07,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,,False,True,2,">4x 50-MA, thin RVOL, below 200-MA, large gap",EMA,4,https://www.tradingview.com/chart/?symbol=NASDAQ:GRML&interval=D,True,False,False
SMTC,Semtech Corporation,NASDAQ,Semiconductors,182.3,170.65,158.65,150.29,140.95,144.21,125.88,114.25,171.28,161.37,185.0,176.4,5.65,6.22,11.33,3820712.5,3593270.1333333333,655053145.0,540042749.0,0.62,1.83,17013260991.935818,39.27,17,17.61,131,144.99,32,67.29,4.72,14.91,2.09,0.76,52.0,0.45,30.94,True,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,2026-12-02,False,False,5,>4x 50-MA,EMA,7,https://www.tradingview.com/chart/?symbol=NASDAQ:SMTC&interval=D,True,False,False
ETON,"Eton Pharmaceuticals, Inc.",NASDAQ,Pharmaceuticals: Major,57.68,56.66,58.04,59.41,53.35,43.14,36.18,31.13,57.28,57.07,60.6,57.22,4.75,5.2,3.0,493404.4,612248.3,35314482.0,36375610.0,1.08,0.86,1648675308.09884,-9.31,288,65.13,28,145.03,31,66.95,1.56,-0.62,0.21,1.12,15.2,0.132,46.64,False,False,True,True,True,True,False,False,False,True,True,True,False,False,False,False,2026-11-05,False,False,5,thin RVOL,"EMA, near21",6,https://www.tradingview.com/chart/?symbol=NASDAQ:ETON&interval=D,False,False,False
SNDK,Sandisk Corporation,NASDAQ,Computer Peripherals,1777.8,1701.07,1663.79,1635.11,1516.76,1621.04,1339.03,1107.91,1735.13,1673.07,1815.0,1742.59,5.06,6.28,111.61,9680795.4,11567304.366666667,20564353703.0,18913813115.0,0.74,2.19,260303708759.62228,22.14,41,-18.07,326,196.42,15,66.83,2.74,6.85,1.0,0.65,31.5,0.284,33.36,True,True,True,True,False,True,True,False,False,True,False,True,False,True,False,False,2026-11-05,False,True,5,large gap,"EMA, near21",8,https://www.tradingview.com/chart/?symbol=NASDAQ:SNDK&interval=D,False,False,True
ILMN,"Illumina, Inc.",NASDAQ,Medical Specialties,270.0,242.98,227.15,221.79,210.8,187.42,167.04,159.29,247.15,232.83,276.97,267.66,4.38,4.25,11.48,6149480.5,3252445.2333333334,878160213.0,721364707.0,0.85,-0.64,40769999091.12815,22.29,39,53.35,49,119.51,49,65.05,6.61,18.86,3.75,0.81,20.4,0.376,31.0,True,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,2026-10-29,False,False,5,>4x 50-MA,EMA,7,https://www.tradingview.com/chart/?symbol=NASDAQ:ILMN&interval=D,False,False,False
PANW,"Palo Alto Networks, Inc.",NASDAQ,Packaged Software,374.74,376.76,360.92,361.09,356.52,318.45,267.15,245.23,373.85,366.26,388.25,373.78,4.44,4.74,17.78,7248532.50000001,6457382.033333342,2419839343.0,2331683164.0,0.68,-0.51,306537330556.38116,13.4,77,26.97,94,153.97,23,64.78,1.08,3.83,0.49,0.81,5.4,0.236,35.1,False,False,True,True,False,True,True,False,False,True,False,True,False,True,False,False,2026-11-12,False,False,6,,"EMA, near21",6,https://www.tradingview.com/chart/?symbol=NASDAQ:PANW&interval=D,False,False,True
TWLO,Twilio Inc.,NYSE,Packaged Software,275.8,261.98,246.68,240.53,227.4,214.73,186.91,172.11,267.14,252.32,298.45,273.52,4.85,5.0,13.8,3079111.3,2227759.8,614416153.0,535843807.0,1.54,-4.33,42356047801.88547,25.32,33,46.6,57,121.81,47,64.58,4.25,11.81,1.86,1.81,16.5,0.368,32.58,True,True,True,True,False,False,False,False,False,False,True,True,True,True,True,False,2026-10-29,False,True,4,">4x 50-MA, large gap","EMA, RVOL",6,https://www.tradingview.com/chart/?symbol=NYSE:TWLO&interval=D,False,False,False
AMBQ,"Ambiq Micro, Inc.",NYSE,Semiconductors,69.79,65.81,62.42,61.86,64.05,70.29,56.88,50.36,66.77,64.6,70.88,68.63,5.12,5.47,3.82,682877.0,517947.1,36147528.0,32040553.0,0.38,1.35,1687838720.737812,14.41,69,-13.25,297,188.75,17,63.3,1.64,11.8,1.47,0.59,30.3,0.321,28.55,False,True,True,True,False,True,True,True,False,True,False,True,False,False,False,False,2026-11-05,False,False,5,thin RVOL,"EMA, near21, ADR",8,https://www.tradingview.com/chart/?symbol=NYSE:AMBQ&interval=D,False,False,True
SBET,"Sharplink, Inc.",NASDAQ,Advertising/Marketing Services,9.63,9.27,8.9,8.45,7.56,6.72,6.88,7.43,9.41,8.88,10.0,9.45,5.82,6.15,0.59,9967902.5,9799029.333333356,94364652.0,82814863.0,0.5,0.5,2091863249.6110556,18.01,57,115.68,10,51.65,131,61.78,4.47,8.15,1.38,0.93,30.4,0.308,26.4,True,True,True,True,False,True,True,False,False,True,False,True,False,False,False,False,2026-11-12,False,False,4,">4x 50-MA, thin RVOL","EMA, near21",8,https://www.tradingview.com/chart/?symbol=NASDAQ:SBET&interval=D,False,True,False
AYA,Aya Gold & Silver Inc.,NASDAQ,Precious Metals,28.47,28.13,28.3,27.86,25.67,22.36,20.53,19.45,28.39,27.97,28.87,27.92,4.79,5.77,1.64,1586764.0,1291902.9333333333,36780477.0,35993277.0,0.49,1.07,4100709972.9393473,4.52,145,53.89,46,120.7,48,59.7,1.89,0.59,0.31,0.58,33.5,0.148,31.09,True,True,True,True,True,True,True,True,False,True,False,True,False,False,False,False,2026-11-17,False,False,5,thin RVOL,"EMA, near21, ADR",10,https://www.tradingview.com/chart/?symbol=NASDAQ:AYA&interval=D,False,False,False
CVI,CVR Energy Inc.,NYSE,Oil Refining/Marketing,51.52,52.16,48.56,44.91,40.56,36.04,34.07,31.8,51.17,48.25,52.31,49.76,5.36,4.87,2.51,1250747.7,1100533.7333333334,56699498.0,49423869.0,0.93,-1.4,5179336512.0,38.05,18,91.17,14,48.94,138,59.39,5.54,6.1,1.39,1.02,70.1,0.347,39.51,False,False,True,True,False,True,False,False,False,True,True,False,False,False,False,False,2026-11-02,False,False,3,"LoD>60% ATR, >4x 50-MA, thin RVOL","EMA, near21",4,https://www.tradingview.com/chart/?symbol=NYSE:CVI&interval=D,True,True,False
